Round 130 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 131 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 132 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 133 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 134 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 135 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 136 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 137 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 138 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 139 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 140 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 141 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 142 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 143 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 144 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 145 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 146 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 147 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 148 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 149 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 150 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 151 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 152 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 153 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 154 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 155 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 156 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 157 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 158 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 159 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 160 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 161 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 162 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 163 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 164 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 165 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 166 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 167 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 168 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 169 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 170 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 171 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 172 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 173 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 174 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 175 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 176 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 177 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 178 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 179 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 180 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 181 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 182 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 183 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 184 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 185 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 186 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 187 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
